Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Part Number
D1,LED_0603_1608Metric,2.18mm,5.195mm,T,270,C72041
D2,LED_0603_1608Metric,4.72mm,5.195mm,T,270,C72041
D3,LED_0603_1608Metric,7.26mm,5.195mm,T,270,C72041
D4,LED_0603_1608Metric,9.8mm,5.195mm,T,270,C72041
D5,LED_0603_1608Metric,12.34mm,5.195mm,T,270,C72041
D6,LED_0603_1608Metric,14.88mm,5.195mm,T,270,C72041
D7,D_SOD-523,2.688mm,10.91mm,B,270,C136167
D8,D_SOD-523,4.72mm,10.91mm,B,270,C136167
D9,D_SOD-523,7.26mm,10.91mm,B,270,C136167
D10,D_SOD-523,9.8mm,10.91mm,B,270,C136167
D11,D_SOD-523,12.34mm,10.91mm,B,270,C136167
D12,D_SOD-523,14.88mm,10.91mm,B,270,C136167
D13,D_SOD-523,16.912mm,10.91mm,B,270,C136167
J1,PinHeader_2x07_P2.54mm_Vertical,17.425mm,16.075mm,T,270,
R1,R_0402_1005Metric,3.45mm,5.705mm,T,90,C25867
R2,R_0402_1005Metric,5.99mm,5.705mm,T,90,C25867
R3,R_0402_1005Metric,8.53mm,5.705mm,T,90,C25867
R4,R_0402_1005Metric,11.07mm,5.705mm,T,90,C25867
R5,R_0402_1005Metric,13.61mm,5.705mm,T,90,C25867
R6,R_0402_1005Metric,16.15mm,5.705mm,T,90,C25867
